Tiempo Real, Tiempo, Iluminacion
06-03-21,1,4095
06-04-21,2,4095
06-05-21,3,4095
06-06-21,4,4095
06-07-21,5,4095
06-08-21,6,4095
06-09-21,7,4095
06-10-21,8,4095
06-11-21,9,4095
06-12-21,10,4095
06-13-21,11,4095
06-14-21,12,4095
06-15-21,13,4095
06-16-21,14,4095
06-17-21,15,4095
06-18-21,16,4095
06-19-21,17,4095
06-20-21,18,4095
06-21-21,19,4095
06-22-21,20,4095
06-23-21,21,4095
06-24-21,22,4095
06-25-21,23,4095
06-26-21,24,4095
06-27-21,25,4095
06-28-21,26,4095
06-29-21,27,4095
06-30-21,28,4095
06-31-21,29,4095
06-32-21,30,4095
06-33-21,31,4095
06-34-21,32,4095
06-35-21,33,4095
06-36-21,34,4095
06-37-21,35,4095
06-38-21,36,3970
06-39-21,37,3804
06-40-21,38,3627
06-41-21,39,3419
06-42-21,40,3211
06-43-21,41,3019
06-44-21,42,2819
06-45-21,43,2631
06-46-21,44,2441
06-47-21,45,2246
06-48-21,46,2069
06-49-21,47,1872
06-50-21,48,1719
06-51-21,49,1567
06-52-21,50,1431
06-53-21,51,1291
06-54-21,52,1200
06-55-21,53,1098
06-56-21,54,998
06-57-21,55,907
06-58-21,56,833
06-59-21,57,769
07-00-21,58,713
07-01-21,59,662
07-02-21,0,625
07-03-21,1,586
07-04-21,2,550
07-05-21,3,509
07-06-21,4,488
07-07-22,5,462
07-08-22,6,432
07-09-22,7,405
07-10-22,8,389
07-11-22,9,372
07-12-22,10,355
07-13-22,11,336
07-14-22,12,334
07-15-22,13,319
07-16-22,14,306
07-17-22,15,290
07-18-22,16,289
07-19-22,17,276
07-20-22,18,268
07-21-22,19,262
07-22-22,20,250
07-23-22,21,242
07-24-22,22,241
07-25-22,23,234
07-26-22,24,227
07-27-22,25,215
07-28-22,26,214
07-29-22,27,217
07-30-22,28,208
07-31-22,29,210
07-32-22,30,201
07-33-22,31,195
07-34-22,32,195
07-35-22,33,190
07-36-22,34,189
07-37-22,35,182
07-38-22,36,176
07-39-22,37,176
07-40-22,38,177
07-41-22,39,172
07-42-22,40,163
07-43-22,41,165
07-44-22,42,158
07-45-22,43,159
07-46-22,44,160
07-47-22,45,154
07-48-22,46,155
07-49-22,47,147
07-50-22,48,150
07-51-22,49,141
07-52-22,50,140
07-53-22,51,142
07-54-22,52,139
07-55-22,53,139
07-56-22,54,142
07-57-22,55,139
07-58-22,56,128
07-59-22,57,131
08-00-22,58,132
08-01-22,59,128
08-02-22,0,128
08-03-22,1,123
08-04-22,2,125
08-05-22,3,125
08-06-22,4,128
08-07-22,5,123
08-08-22,6,119
08-09-22,7,119
08-10-22,8,115
08-11-22,9,122
08-12-22,10,117
08-13-22,11,121
08-14-22,12,113
08-15-22,13,118
08-16-22,14,123
08-17-22,15,116
08-18-22,16,112
08-19-22,17,123
08-20-22,18,117
08-21-22,19,114
08-22-22,20,112
08-23-22,21,111
08-24-22,22,115
08-25-22,23,109
08-26-22,24,111
08-27-22,25,107
08-28-22,26,115
08-29-22,27,112
08-30-22,28,109
08-31-22,29,111
08-32-22,30,112
08-33-22,31,112
08-34-22,32,105
08-35-22,33,105
08-36-22,34,110
08-37-22,35,108
08-38-22,36,103
08-39-22,37,107
08-40-22,38,103
08-41-22,39,108
08-42-22,40,108
08-43-22,41,109
08-44-22,42,107
08-45-22,43,103
08-46-22,44,103
08-47-22,45,105
08-48-22,46,101
08-49-22,47,102
08-50-22,48,110
08-51-22,49,100
08-52-22,50,103
08-53-22,51,100
08-54-22,52,107
08-55-22,53,99
08-56-22,54,97
08-57-22,55,103
08-58-22,56,103
08-59-22,57,89
09-00-22,58,98
09-01-22,59,97
09-02-22,0,103
09-03-22,1,99
09-04-22,2,101
09-05-22,3,93
09-06-22,4,95
09-07-22,5,101
09-08-22,6,98
